[27/06/2020|19:40:53] Shawn_Ahr (Auto Aim): 4F8E9A588CEFA8D5048C8ECEDF44AC555A94ACDD
[27/06/2020|20:57:40] Pedro_Valazza (Cheater): 4DF9848FCC9C5CCAD404A40A8984058F90C9959C
[27/06/2020|21:23:23] Alexis_Ouditore (FLOOD): 8A4D9489C40CD98E8C04F4D99DDECDD8C9E5A95C
[27/06/2020|21:41:35] Santi_Yeguez (ahi se te cae el server veneco muerto de hambre): CDEC584CADEACC8E0CF4D980DC999A5D4C8C89CC
[27/06/2020|21:48:01] Facu_Telechea (FLOOD): CAA48E08DEC044E5FE90F9F89AA99FC4CDEDFAE
[28/06/2020|20:32:41] Rick_Dyxon (hacks): CD49DF09FDC0DAA4AAC48F9995D8484F5A894FF5
[28/06/2020|21:17:47] Edward_Castro (BA ): CF48DD40E4A44DDCF9E4C99EDCEE9C55CD9DF9D
[28/06/2020|22:16:38] Anderson_Villamisar (AR TOXICO): D4C98C45E4E4C540CDA98940E49D44ECDC4ECE4C
[30/06/2020|19:33:09] Andrew_Carter (BA): D49C90F445A8D9C499E8FA4C448008E9FCAE405E
[30/06/2020|22:34:13] Sebas_Guti (MNP): DF59C40CE908CCE58A988A8C4AA8884C54F4549C
[01/07/2020|04:58:56] Pablo_Gomez (FLOOD): EEACC9DA0D4E9E5EEFEF55C890489095090DD8AF
[01/07/2020|16:51:42] Hermenegildo_Zapata (FLOOD.): 4F8E9A588CEFA8D5048C8ECEDF44AC555A94ACDD
[01/07/2020|23:09:43] Hoctabio_Garcia (troll (número 0 de móvil)): 84E9CE48DA8AA4E89AFACD0A9C40F9C44AD4FEEC
[02/07/2020|00:01:11] Julian_Ivaleska (Respete): 89C5088A9898D55804CA4899D4FD9D09E5DCC990
[02/07/2020|01:23:46] Ramon_Mendez (cheater (reporte en discord)): 8DE0DED8940A4D0FDDEC904C89D44949FE58D84
[03/07/2020|00:44:15] Santiago_Vaz (insultar staff): 9DE59E48C8F9ED0CAC94E4ECDDD8E859FD8CDCCD
[03/07/2020|02:25:18] Max_Macgog (chau): E48949DEE88F9558ED9AEEEDCDCE489AF4E8D85E
[03/07/2020|05:26:56] Alan_Guzman (cheater (balas infinitas en graff)): 49A988C9FAC8DFD999FE9C8CE8E4FDDCFF99948A
[03/07/2020|21:17:34] Jhonny_Venturas (Tóxico): 445E8FD8C88FFF5889989A998EC8E9044EFF448C
[04/07/2020|01:29:59] Clay_James (Pro Aim y Silent Aim, mas edicion al video para que no se note la prox, besitos.): FFACFD8A8DA44E444EF84CDDF5DE84CEC998D580
[04/07/2020|01:34:24] Julian_Ivaleska (Silent Aim, la proxima edita mejor el video para que no se note bb. Besitos): 89C5088A9898D55804CA4899D4FD9D09E5DCC990
[04/07/2020|02:58:13] Salvatore_Maranzano (.): EEACC9DA0D4E9E5EEFEF55C890489095090DD8AF
[04/07/2020|21:16:56] Pablo_Contreras (Toxicidad, RK, Antirol.): D4C448E48D9495EE40994FCE4CAC5CC95DECFEA0
[05/07/2020|05:00:09] Gabriel_Zavala (no fuel hack): EDE89CE9944AD8D494584AE80F8ADD049DA98D9E
[05/07/2020|23:47:39] Ignacio_Ivaleska (ultima vez): 89C5088A9898D55804CA4899D4FD9D09E5DCC990
[06/07/2020|01:32:17] Santiago_Silva (BA (/dormir)): 9CE59C809EDDC89984EDF949AEF45EDE9D44C499
[06/07/2020|01:33:55] Juan_Catari (BA (/DORMIR)): EEC8F8C54AD94CA9DDE8EE49A948ADCF8ED9C5C0
[07/07/2020|15:50:10] Sebas_Ortega (Estafa.): 5EEE8C4E9494EDCFE99DC94CFE9AEC048D4899C5
[07/07/2020|17:49:28] Emiliano_Achetoni (Insultar al staff- Toxico.): ECF9C854548555C480D4E98E804ED0F08ECF9058
